hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	date
hk-67-3	5D5fNLa5jm45zmw9gQiyzbNKdC2dowUNEos2DWUWh64ir6oz	65	uid_58	uid_58__artifact_6bd83f13-a7b2-464a-a6e6-36bdb140fa27.py	2026-08-03
hk-67-4	5DjppZuF7hF2YUjUoAb6iEVyQGVdmrJoYjJznbJGfmA9Z9Yu	17	uid_136	uid_136__artifact_760b4108-1de5-4e68-a2e0-16dce5957a2d.py	2026-08-03
hk-67-5	5HGofxdSC1fwwFdE5j3ZHpnLjPsgjSNpz8j5DXeus263aDQz	46	uid_62	uid_62__artifact_e339280b-abae-4ba0-aacf-68945b5506d5.py	2026-08-03
hk-67-6	5GxXmRLP8WHRJxfeZJN6ho9nu9ZCWoNbaWaqWbF8dd25soff	60	uid_215	uid_215__artifact_92b318b2-0088-4e73-bb00-c8f19af6b6e2.py	2026-08-03
hk-67-7	5D9f8Ri9kcPnmCSXzs5oPhZPsXqgHALCMArrqnGSFxYhgSYL	195	uid_159	uid_159__artifact_852c5e16-de1b-4524-9c6a-84e1d0724f9f.py	2026-08-03
hk-67-8	5C8CRzo6nVHY9tNyJ1xBJDzyUU5vSNYHEUouSRkAXbjZB6MN	177	uid_78	uid_78__artifact_1fc5df83-f4c4-432d-880b-dbbc44bc20db.py	2026-08-03
hk-67-9	5HQhD4f3XRaUm2u8hz1bzWy7A2YNAKZxfsAVKTyYZQQMfqCP	40	uid_252	uid_252__artifact_05486ba6-8d56-4935-87de-1f8c02a14849.py	2026-08-03
hk-67-14	5G9o3Qp9ibFiAduXNq9pK1AcxRQ51iVvssC5DYkfi3TWpeuG	127	uid_87	uid_87__artifact_528f9541-6250-4d71-bdc5-fb6b6882518d.py	2026-08-03
hk-67-17	5CtqhgZgxUCB3c1bY5Ng7W6SFHYR34Cri5H6JtWicNENwnaM	226	uid_222	uid_222__artifact_8d7236e9-08ed-427a-b8a2-6d85fecfb5ae.py	2026-08-03
hk-67-21	5DLYKSZS2L7gRrq2JatxgJn2TneUQQpsiY89LiLktk6Rn8jq	105	uid_230	uid_230__artifact_9befa73e-4898-4295-b73d-bfa23e2fed67.py	2026-08-03
hk-67-22	5GTogHFaYQQWGcmvVE4xmizpobBSuhC2efLH4PvscNEu5fcm	92	uid_111	uid_111__artifact_834aa1fe-bacc-4831-84ad-568782cf944b.py	2026-08-03
hk-67-23	5Fn6y1uZGibEW5GtKByE4UCQQCysBk5QaBPJfF2zN5jLYX4H	44	uid_64	uid_64__artifact_f7a9c13e-1214-4369-9157-b247ca32aa93.py	2026-08-03
hk-67-24	5FCTj2DNfMCudQw9YNkQWpgk8zBiJs8TCiWqg9t9BDPatG2z	227	uid_185	uid_185__artifact_7bc9b457-53df-41aa-b844-479a4d1da21f.py	2026-08-03
hk-67-25	5HmUEZ65n5hfpoANptv8Xqx6eknnmvYbXV9ySCwwbjv5EXk9	43	uid_16	uid_16__artifact_ce0acb69-66d6-4c74-8074-7b59fa734311.py	2026-08-03
hk-67-26	5FpmGyfU3wfppD9qsBg7e8NawA7J9yZLMuVY81WdnsaJ1U4B	151	uid_213	uid_213__artifact_46e01fa5-b37a-4a83-8c32-d186e65dd408.py	2026-08-03
hk-67-30	5ELCtSSVcsxPYeFnYe7i2xwjDg3vKLgx7b4c6Cjrv9FhCvtD	125	uid_82	uid_82__artifact_0cefd749-6bad-406f-8a64-7f2df82db03c.py	2026-08-03
hk-67-33	5ER9h9Nh5PrcErAsamt9o2fkRY6XrDcxp6yffhUwP4VjAmpM	182	uid_21	uid_21__artifact_aea53ab6-88a1-4544-b0af-5a2d15d114af.py	2026-08-03
hk-67-39	5DFdZnet3LDiddZYGQ2VoMQyhc6mJvRmxPvEPXhdDrYGtVQt	59	uid_200	uid_200__artifact_61c5bb20-d610-4ffe-af47-11412194eff7.py	2026-08-03
hk-67-40	5F1DLMkVBjaD3HxF8UrjemCdDfiHpmuZzu4vpz4NaSuGvuWk	181	uid_209	uid_209__artifact_d40df295-951a-41e1-90e9-06477e8eb9e3.py	2026-08-03
hk-67-41	5Dt6hhZryXZWC8hGePzg3ugp8NVLqzJhgQFtwUFNMpkiRw34	10	uid_149	uid_149__artifact_c67a78a6-eba5-4a4b-bad0-b33f3a764680.py	2026-08-03
hk-67-42	5EPW6pEkAPx6bryrEyFWtM3Ts4VkJwsYGcbRkvb9HMgnjWwC	104	uid_151	uid_151__artifact_8a63ef33-1a33-464d-8da1-9678261b1c49.py	2026-08-03
hk-67-43	5GH8REwcYtYMupG17jgbNHQZR5zjwHxVyr9y8V6eNWKCFvyB	90	uid_52	uid_52__artifact_ece6c159-15b8-4e9f-ac70-3145c78ed29b.py	2026-08-03
hk-67-45	5CJb5e9r3RPtGxsAbHh8jQ3pRkhR2QABXy9qWJYJfuFMkJ4C	172	uid_183	uid_183__artifact_78f674b5-6d54-453a-a3ab-2cfd6b331e58.py	2026-08-03
hk-67-46	5GZKnrJjKJGmcz75j8sKEbPfxXmnLXpN4KxNZaGDEf17Sp5q	162	uid_174	uid_174__artifact_de8cfc5a-679c-44da-a495-0c8a892c9726.py	2026-08-03
