hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	primary_llm_provider	primary_search_provider	providers_summary	date
hk-67-1	5FFLF6CgQgeDn6bgzFGF2FHMecfCA5gEGQNKZQkDc5AwypZU	23	uid_79	uid_79__artifact_4fe654db-08d9-4624-98de-897fd364f158.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-06
hk-67-10	5DnRmBNm9LH5jsXqzEmEd1M17padmGJrZjouN4g7wr3oWACP	3	uid_108	uid_108__artifact_55eb7463-d419-4693-8cda-f3a50cb02be9.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel | fetch:parallel	2026-08-06
hk-67-11	5GWH1rMxPzvwSLV3wZimQt2iMek8JeGNTtoXjs7Wv7uiXgmn	160	uid_107	uid_107__artifact_3d2b6237-02d6-4302-bb32-916fa4f91c14.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-06
hk-67-12	5CoUkzmVw6X4Xj9zzXoA2T1ZwRXr2vimbfEQXJvdGXGx6WAg	176	uid_151	uid_151__artifact_685137ef-7ced-4a7e-b0ba-e14a795c1b82.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-06
hk-67-13	5CSzbYHqHWignpNDpepZjQ29Sg3AXdWyTa3Kq5wNDZhkvbrK	105	uid_237	uid_237__artifact_e1b1996e-490a-4ed8-a266-7c1bbc3faa97.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-06
hk-67-14	5G9o3Qp9ibFiAduXNq9pK1AcxRQ51iVvssC5DYkfi3TWpeuG	127	uid_173	uid_173__artifact_4f8829b8-790e-4277-8055-0f46ab72d665.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-06
hk-67-15	5H1j52nH6fuPEeii8drWSeH1BgizCqqwh3c6uNYuLPcopiGB	182	uid_207	uid_207__artifact_66969554-d050-4cae-8304-bfa30aacff56.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-06
hk-67-20	5CACD5ojXDGRuVjA3o15nFWhuKqM6P31nAddhTwuhQv8mai8	208	uid_230	uid_230__artifact_2b04a7d8-d5d9-44a7-8d5a-de77da02dd07.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-06
hk-67-21	5DLYKSZS2L7gRrq2JatxgJn2TneUQQpsiY89LiLktk6Rn8jq	223	uid_186	uid_186__artifact_4e3e2055-3b91-47a8-b40d-81fef35b29b0.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-06
hk-67-22	5GTogHFaYQQWGcmvVE4xmizpobBSuhC2efLH4PvscNEu5fcm	92	uid_206	uid_206__artifact_c3fa73bb-0d15-40d1-afee-fcb5f1bc30d9.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-06
