hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	date
hk-67-7	5D9f8Ri9kcPnmCSXzs5oPhZPsXqgHALCMArrqnGSFxYhgSYL	38	uid_48	uid_48__artifact_8bb7de1d-5297-4ba7-a6f4-913d74f10372.py	2026-08-05
hk-67-27	5Gdqiqa2Kj93tAcTPYaWgjbWGyi3FYZ38N4NjTdQ9vYhkVjG	244	uid_244	uid_244__artifact_26f86ddd-9fbe-4d18-bc05-8f5bccb9682c.py	2026-08-05
hk-67-21	5DLYKSZS2L7gRrq2JatxgJn2TneUQQpsiY89LiLktk6Rn8jq	223	uid_233	uid_233__artifact_850a1a55-25ae-4d57-9dda-3c104a8b72be.py	2026-08-05
hk-67-5	5HGofxdSC1fwwFdE5j3ZHpnLjPsgjSNpz8j5DXeus263aDQz	46	uid_127	uid_127__artifact_67672675-e692-4756-9856-ae62b2c6d383.py	2026-08-05
hk-67-3	5D5fNLa5jm45zmw9gQiyzbNKdC2dowUNEos2DWUWh64ir6oz	234	uid_236	uid_236__artifact_45941d11-263e-4eb7-82f9-dc62161dd86d.py	2026-08-05
hk-67-43	5GH8REwcYtYMupG17jgbNHQZR5zjwHxVyr9y8V6eNWKCFvyB	90	uid_61	uid_61__artifact_3b7ecf00-dc94-4f3d-989b-a5e9b932c4e8.py	2026-08-05
hk-67-20	5CACD5ojXDGRuVjA3o15nFWhuKqM6P31nAddhTwuhQv8mai8	208	uid_130	uid_130__artifact_fc7f7bf6-f28f-4ec1-99ca-743014045a48.py	2026-08-05
hk-67-30	5ELCtSSVcsxPYeFnYe7i2xwjDg3vKLgx7b4c6Cjrv9FhCvtD	132	uid_250	uid_250__artifact_2e9e8cf8-20b0-49ab-9c9d-38a957233fbf.py	2026-08-05
hk-67-13	5CSzbYHqHWignpNDpepZjQ29Sg3AXdWyTa3Kq5wNDZhkvbrK	105	uid_209	uid_209__artifact_c2264f85-635c-41a7-922d-4fa3108dc30f.py	2026-08-05
hk-67-24	5FCTj2DNfMCudQw9YNkQWpgk8zBiJs8TCiWqg9t9BDPatG2z	216	uid_29	uid_29__artifact_369deb3c-97ca-4647-8340-9c4e3793e51c.py	2026-08-05
