hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	date
hk-67-23	5Fn6y1uZGibEW5GtKByE4UCQQCysBk5QaBPJfF2zN5jLYX4H	44	uid_143	uid_143__artifact_3249feff-ff7b-462d-8daf-563c3be1422b.py	2026-08-02
hk-67-47	5CJp3wFjdwSUAWaCxLpXeFRNazTuULCe3yyReSntczSh94xN	67	uid_247	uid_247__artifact_88d225a6-6448-4a49-bdee-a06636e35b91.py	2026-08-02
hk-67-8	5C8CRzo6nVHY9tNyJ1xBJDzyUU5vSNYHEUouSRkAXbjZB6MN	177	uid_215	uid_215__artifact_0d64a641-3578-431a-80e0-a9c14aabf9a0.py	2026-08-02
hk-67-2	5FqYyerPjZHTv6ffVSUM8PVbauY4qfgW8YkEdvKqgFjMaG9H	211	uid_245	uid_245__artifact_70124917-c1c0-4dc5-9541-f6342556ed35.py	2026-08-02
hk-67-17	5CtqhgZgxUCB3c1bY5Ng7W6SFHYR34Cri5H6JtWicNENwnaM	226	uid_180	uid_180__artifact_7ea7117d-f675-4b96-9104-e5a838f3e779.py	2026-08-02
hk-67-42	5EPW6pEkAPx6bryrEyFWtM3Ts4VkJwsYGcbRkvb9HMgnjWwC	104	uid_29	uid_29__artifact_97646c0e-f0fb-4a6d-a847-87682f1317f1.py	2026-08-02
hk-67-33	5ER9h9Nh5PrcErAsamt9o2fkRY6XrDcxp6yffhUwP4VjAmpM	182	uid_241	uid_241__artifact_90731e21-2d78-4f72-9299-a16a4585d210.py	2026-08-02
hk-67-25	5HmUEZ65n5hfpoANptv8Xqx6eknnmvYbXV9ySCwwbjv5EXk9	43	uid_86	uid_86__artifact_d2b43a6a-5489-4b52-8a93-0c4f53f08707.py	2026-08-02
hk-67-13	5CSzbYHqHWignpNDpepZjQ29Sg3AXdWyTa3Kq5wNDZhkvbrK	73	uid_116	uid_116__artifact_9a8723ff-1405-4f17-a780-304cc29125a8.py	2026-08-02
hk-67-5	5HGofxdSC1fwwFdE5j3ZHpnLjPsgjSNpz8j5DXeus263aDQz	46	uid_89	uid_89__artifact_89a00553-38d9-4399-a490-59b3f277df4b.py	2026-08-02
hk-67-26	5FpmGyfU3wfppD9qsBg7e8NawA7J9yZLMuVY81WdnsaJ1U4B	151	uid_52	uid_52__artifact_2e850ce2-2162-4704-891f-a8f6a185c2db.py	2026-08-02
hk-67-22	5GTogHFaYQQWGcmvVE4xmizpobBSuhC2efLH4PvscNEu5fcm	92	uid_58	uid_58__artifact_d7e11500-7ae4-4610-8dad-9c7e1d9d1347.py	2026-08-02
hk-67-46	5GZKnrJjKJGmcz75j8sKEbPfxXmnLXpN4KxNZaGDEf17Sp5q	162	uid_79	uid_79__artifact_f736981d-1ad1-461c-8808-217677f149fa.py	2026-08-02
hk-67-4	5DjppZuF7hF2YUjUoAb6iEVyQGVdmrJoYjJznbJGfmA9Z9Yu	17	uid_105	uid_105__artifact_2333fff1-253c-4353-afb6-f84e66b7134b.py	2026-08-02
hk-67-7	5D9f8Ri9kcPnmCSXzs5oPhZPsXqgHALCMArrqnGSFxYhgSYL	195	uid_148	uid_148__artifact_b2f291f1-f84e-41d2-9668-1c534fc6d349.py	2026-08-02
hk-67-12	5CoUkzmVw6X4Xj9zzXoA2T1ZwRXr2vimbfEQXJvdGXGx6WAg	235	uid_64	uid_64__artifact_3ca22c5f-e977-4a36-be29-c7a12f154e85.py	2026-08-02
hk-67-20	5CACD5ojXDGRuVjA3o15nFWhuKqM6P31nAddhTwuhQv8mai8	98	uid_48	uid_48__artifact_d8537301-f11f-4f78-89ac-39f2ba6f0b50.py	2026-08-02
hk-67-45	5CJb5e9r3RPtGxsAbHh8jQ3pRkhR2QABXy9qWJYJfuFMkJ4C	172	uid_132	uid_132__artifact_b7d3b2be-8788-499a-8b6d-65937c7ec0e6.py	2026-08-02
hk-67-21	5DLYKSZS2L7gRrq2JatxgJn2TneUQQpsiY89LiLktk6Rn8jq	105	uid_61	uid_61__artifact_85612ba3-65ec-491d-a8cf-7918857f6ffc.py	2026-08-02
hk-67-43	5GH8REwcYtYMupG17jgbNHQZR5zjwHxVyr9y8V6eNWKCFvyB	90	uid_175	uid_175__artifact_c1eae5d0-aa09-4a68-baf7-767395131aaf.py	2026-08-02
hk-67-9	5HQhD4f3XRaUm2u8hz1bzWy7A2YNAKZxfsAVKTyYZQQMfqCP	40	uid_255	uid_255__artifact_b4767580-c729-446a-99ca-a2dc25280ad6.py	2026-08-02
hk-67-39	5DFdZnet3LDiddZYGQ2VoMQyhc6mJvRmxPvEPXhdDrYGtVQt	59	uid_51	uid_51__artifact_f7145ab3-b93b-4b95-86d5-a76d9e8107a0.py	2026-08-02
